,endothelial cell,endothelial cell of artery,endothelial cell of vascular tree,fibroblast,myofibroblast cell,pericyte,vascular associated smooth muscle cell,vein endothelial cell
cell_71,0.01094282080740477,0.014469889215998354,0.011402286006675257,0.006319994632755964,0.005869961029617775,0.006328911731014855,0.006217966642596701,0.009063301998463585
cell_72,0.010511901859673,0.009931118406890631,0.013238367951704376,0.007526804768118451,0.007260671087155477,0.0060059083127110054,0.004546818246148471,0.010859575815932656
cell_73,0.07758890357260875,0.0706637413238024,0.0754821891217188,0.04683321026944364,0.04748069053882337,0.053613155543995844,0.04519310631477585,0.07924259999869802
cell_74,0.11157070311518706,0.11609008286247563,0.11281142336601677,0.07042735478374072,0.07691411821658162,0.08620184988623625,0.0728333738490065,0.11271678192141803
cell_75,0.04332854280449609,0.04181512025365784,0.04364253365999478,0.038331394046328134,0.03613718410770274,0.04441569195469642,0.036364947421714054,0.04052792453010393
cell_76,0.07811502908088427,0.11714931845134702,0.10697308542544748,0.145962216553851,0.27287785962918826,0.20713940245012052,0.26142547442675157,0.0876156211681501
cell_77,0.07591966312109352,0.0700084812814958,0.08020651296915801,0.058932379063207925,0.08129136770297496,0.08791525819281804,0.09156543708881099,0.0772666463776445
cell_78,0.18189914484044453,0.1581953929723898,0.1817741386164984,0.0677476526983202,0.09083748181742732,0.0913614563921955,0.0696086301454455,0.19125879085992772
cell_79,0.07603968222383972,0.07200396429340088,0.07097527857890154,0.049197782013376185,0.04983438297656116,0.05633435928872828,0.04802801773781911,0.07245583981368041
cell_80,0.08638075709210967,0.09098566186245136,0.08828236426826036,0.058277216059321256,0.06131903424962987,0.07096868991305645,0.05550289230493673,0.09420559863410487
cell_81,0.06921578097100757,0.06915274436745779,0.06387374984780442,0.04069878546698619,0.04033022357329599,0.048638307057868764,0.037457589389228226,0.06643494884442272
cell_82,0.02770925972703791,0.02903907234986875,0.02363522921689869,0.011312318671377606,0.012001958759340105,0.01431871643607218,0.010558341022500474,0.02745879978103946
