cell_id,before_score,after_score,candidate_after_score,before_type,after_type,candidate_after_type,accepted,decision,improvement
cell_67,0.1363860408793659,0.1363860408793659,,vein endothelial cell,vein endothelial cell,,False,rejected_no_center_cell,0.0
cell_68,0.1155431198932664,0.11698006678018621,0.11698006678018621,endothelial cell,endothelial cell,endothelial cell,True,accepted_improved,0.0014369468869198099
cell_69,0.1260315223163367,0.12675408830741033,0.12675408830741033,endothelial cell,endothelial cell,endothelial cell,True,accepted_improved,0.0007225659910736204
cell_70,0.0759052157199364,0.0759052157199364,0.07528803309114994,fibroblast,fibroblast,fibroblast,False,rejected_no_improvement,0.0
cell_71,0.0175995268969758,0.0175995268969758,,endothelial cell of artery,endothelial cell of artery,,False,rejected_no_center_cell,0.0
cell_72,0.0165240914782142,0.0165240914782142,0.015046006829714137,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelial cell of vascular tree,False,rejected_no_improvement,0.0
cell_73,0.0997020121324884,0.0997020121324884,0.0967272394130052,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_improvement,0.0
cell_74,0.1418187939170209,0.1418187939170209,0.1418187939170207,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_improvement,0.0
cell_75,0.0701086162270894,0.0701086162270894,0.044724029058418324,fibroblast,fibroblast,pericyte,False,rejected_no_improvement,0.0
cell_76,0.0823544836322315,0.0823730363049898,0.0823730363049898,fibroblast,fibroblast,fibroblast,True,accepted_improved,1.8552672758298527e-05
cell_77,0.0979826776327919,0.0979826776327919,0.0967792637601516,myofibroblast cell,myofibroblast cell,myofibroblast cell,False,rejected_no_improvement,0.0
cell_78,0.1293241248398163,0.1293241248398163,0.1156588885655554,endothelial cell,endothelial cell,vein endothelial cell,False,rejected_no_improvement,0.0
cell_79,0.0964804532026169,0.0964804532026169,0.06983480236056452,endothelial cell,endothelial cell,fibroblast,False,rejected_no_improvement,0.0
cell_80,0.1185282630569942,0.1185282630569942,,vein endothelial cell,vein endothelial cell,,False,rejected_no_center_cell,0.0
cell_81,0.0878221702347177,0.0878221702347177,,endothelial cell,endothelial cell,,False,rejected_no_center_cell,0.0
cell_82,0.0353198236182543,0.0353198236182543,,endothelial cell of artery,endothelial cell of artery,,False,rejected_no_center_cell,0.0
