experiment,cell_id,before_score,candidate_after_score,after_score,before_type,candidate_after_type,after_type,accepted,decision,improvement,raw_candidate_improvement,patch_size,retry_diameter,x0,x1,y0,y1
relaxed_patch80_diam20,cell_78,0.1293241248398163,0.1156588885655554,0.1293241248398163,endothelial cell,vein endothelial cell,endothelial cell,False,rejected_no_improvement,0.0,-0.013665236274260917,80,20,280.0,360.0,448.0,512.0
relaxed_patch80_diam20,cell_82,0.0353198236182543,0.0353198236182543,0.0353198236182543,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,False,rejected_no_center_cell,0.0,0.0,80,20,29.0,109.0,464.0,512.0
larger_patch150_diam20,cell_1,0.1237262571135552,0.1237262571135552,0.1237262571135552,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,False,rejected_no_center_cell,0.0,0.0,150,20,0.0,129.0,0.0,90.0
larger_patch150_diam20,cell_6,0.0101603804434826,0.0101603804434826,0.0101603804434826,vascular associated smooth muscle cell,vascular associated smooth muscle cell,vascular associated smooth muscle cell,False,rejected_no_center_cell,0.0,0.0,150,20,429.0,512.0,0.0,82.0
larger_patch150_diam20,cell_8,0.1452466013589321,0.1461742963595466,0.1461742963595466,myofibroblast cell,fibroblast,fibroblast,True,accepted_improved,0.0009276950006144868,0.0009276950006144868,150,20,193.0,343.0,0.0,113.0
larger_patch150_diam20,cell_9,0.1075434983424123,0.10632972476446792,0.1075434983424123,vascular associated smooth muscle cell,vascular associated smooth muscle cell,vascular associated smooth muscle cell,False,rejected_no_improvement,0.0,-0.0012137735779443742,150,20,319.0,469.0,0.0,107.0
larger_patch150_diam20,cell_10,0.0332263707601387,0.0332263707601387,0.0332263707601387,pericyte,pericyte,pericyte,False,rejected_no_center_cell,0.0,0.0,150,20,412.0,512.0,0.0,108.0
larger_patch150_diam20,cell_11,0.0747488540346365,0.0747488540346365,0.0747488540346365,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,rejected_no_center_cell,0.0,0.0,150,20,429.0,512.0,0.0,117.0
larger_patch150_diam20,cell_16,0.0952496414502628,0.0952496414502628,0.0952496414502628,endothelial cell,endothelial cell,endothelial cell,False,rejected_no_center_cell,0.0,0.0,150,20,197.0,347.0,0.0,148.0
larger_patch150_diam20,cell_18,0.1515848239954636,0.1464164472220707,0.1515848239954636,endothelial cell,vein endothelial cell,endothelial cell,False,rejected_no_improvement,0.0,-0.005168376773392908,150,20,61.0,211.0,26.0,176.0
