,endothelial cell,endothelial cell of artery,endothelial cell of vascular tree,fibroblast,myofibroblast cell,pericyte,vascular associated smooth muscle cell,vein endothelial cell
cell_32,0.12332363934943505,0.13540020489555438,0.1065539027136418,0.004588586130297377,0.06914003582711048,0.03268312442967194,0.13652740306240538,0.15880901239097867
cell_33,0.0958976549137677,0.11336639295582708,0.10259092685101211,0.1988550670191551,0.09192229124837602,0.11749184471101154,0.0948106763867668,0.1654315383328495
cell_34,0.20211794807905545,0.19641790261177364,0.21980460733086535,0.14352127105011173,0.11701811815001949,0.11922749949125967,0.0916537364257717,0.30917923208763326
cell_35,0.14964967532307838,0.1698694561061824,0.12466101300115749,0.07549610273173034,0.0537436913731663,0.06251130088497298,0.026297904541693406,0.16533546106276362
cell_36,,,,,,,,
cell_37,0.2089988024050477,0.2301270447635209,0.2168427604882883,0.10110187000977228,0.0995093539187218,0.06901099806923346,0.051687304457749314,0.18815285468813417
cell_38,0.1988972896194826,0.20442999318801464,0.18310941945522244,0.32883224840081543,0.14513116114293148,0.1861511545718798,0.10207676314828047,0.26529658369865944
cell_39,0.10357390540125497,0.14546787633401778,0.10635633413107376,0.18799343127785642,0.2165275805504247,0.22524058270768077,0.2231098080279365,0.0770038554304407
cell_40,,,,,,,,
cell_41,,,,,,,,
cell_42,0.2377816269277295,0.27582092122692153,0.2408434066418764,0.2146213055735587,0.1419618643598168,0.13877787611452205,0.08795579915009621,0.2724868648571259
cell_43,,,,,,,,
cell_44,0.24728684930928985,0.2392794305215684,0.24949988528558772,0.24306146038598725,0.21854467797447255,0.2541638492826654,0.19236245673690064,0.2745597069087266
cell_45,0.29545753332954006,0.20802526872465776,0.2864514479550644,0.09481251761927408,0.21350994641360738,0.20015147828851887,0.17443065172083702,0.30270467622356834
cell_46,0.2697250725162328,0.2978576979063541,0.25985588713837626,0.15738721956714774,0.16122665243681522,0.1396929742375755,0.10762818246871457,0.3278480556350658
cell_47,0.06551044883824982,0.12284400182039844,0.04981359412335752,0.035039630178130735,0.06675619738838981,0.09058170735925308,0.06175596735330226,0.032716450327932536
cell_48,0.23800168434507324,0.21633202456433004,0.25091700758664764,0.16388810866506007,0.22507054901057708,0.22265486724874872,0.19828112756847502,0.24743906656361234
cell_49,0.15267040323832545,0.12574644256497158,0.1845708103491232,0.13285760022618676,0.10351530902999512,0.11962557030621504,0.08459587171520182,0.1971328034411004
cell_50,0.22245683807061456,0.20189218703494657,0.20570473195758157,0.11071339870217863,0.1853925749602742,0.1971819576907842,0.20384238084554537,0.24385572528599986
cell_51,0.10424482017495804,0.12287617535305011,0.10017606278647709,0.0007745084230847498,0.021188434143170693,0.0020976834614352064,0.0016750866722620044,0.05866941416332496
cell_52,0.17940778171314298,0.17796444967132688,0.22250697356561344,0.1840246113554789,0.15398249660856528,0.11515609464869231,0.09972160069576211,0.21146085857048735
cell_53,0.26473185625221396,0.3202403960660843,0.3233114491787086,0.15866697707709707,0.28122405105602855,0.2544354167789238,0.21362024569486474,0.27008474817040584
cell_54,0.196451352644676,0.24354911671071328,0.2180785244413853,0.1766637333305621,0.17532068584167376,0.17121167683321706,0.13247943643843108,0.2326507844736206
cell_55,0.10617740144913594,0.1474836884715046,0.09489277561720125,0.18856974464441464,0.09852562228525401,0.08758835779241532,0.13194033938434216,0.08430115632962033
cell_56,0.15720476382645837,0.13939782941601694,0.17296449193499597,0.17760665826919775,0.21748179451479868,0.2212500419442246,0.21352007270079607,0.1645307408768421
cell_57,0.00794508461984104,0.00732519560080202,0.021384023780671953,0.33838480695970513,0.05693160289489286,0.08617967621740732,0.013394223495391946,0.009048652008446642
cell_58,0.17940778171314298,0.17796444967132688,0.22250697356561344,0.1840246113554789,0.15398249660856528,0.11515609464869231,0.09972160069576211,0.21146085857048735
cell_59,0.14117177634462447,0.17724204057272755,0.13797296447303403,0.0074516398343492055,0.05353264931976447,0.03677878876027214,0.04220975409556786,0.10301896645104687
cell_60,0.03804795371766806,0.05196736586962929,0.05220997481805696,0.24263049056291427,0.07622277338892997,0.11853143746660338,0.06710980000857641,0.12581316795189643
cell_61,0.21318833104531743,0.2327098617920251,0.26509015612963854,0.13143537748048734,0.2442846896525338,0.19718733790585086,0.24829231181070494,0.24601421795362605
cell_62,0.14097292194220243,0.1079731134511425,0.14564715095774344,0.2521377622093566,0.24024923139441828,0.2302339337733047,0.17936911927092777,0.12216827205787364
cell_63,0.2180448331714913,0.2167291548544872,0.20724162876451213,0.038392419344664065,0.12023434091954939,0.09861096723363405,0.05583228119870909,0.18117109859870056
cell_64,0.16656239349045193,0.15209936131565316,0.1594267986675542,0.21930076538693158,0.17825577332537734,0.22221268376739117,0.16366722691085028,0.20732349841869166
cell_65,0.05750898193544415,0.06467084795533179,0.05210488943073287,0.17171393265301138,0.09026858652156236,0.13647575450852267,0.08705906101069104,0.06319458367242803
cell_66,,,,,,,,
cell_67,0.27061346866174124,0.3005513103009733,0.2881248921263566,0.17304379434625855,0.24394442121422316,0.1796273933557452,0.20836282672147446,0.36152926946607666
cell_68,0.18637350049183535,0.19045962362265823,0.17235332603563494,0.19735834801456484,0.14937659285941823,0.14902468578038255,0.1492612411244028,0.2035669967370556
cell_69,0.38182133169861376,0.35250525336757665,0.3452136690294725,0.13528369898526926,0.20028208097655728,0.18439399248478294,0.1280900484690163,0.38697753148402464
cell_70,0.016980415906866764,0.015265009833568325,0.050917935274282934,0.20918819944706193,0.07147895460797134,0.08687061795549864,0.027600288617087715,0.07967041324430492
cell_71,,,,,,,,
cell_72,0.17940778171314298,0.17796444967132688,0.22250697356561344,0.1840246113554789,0.15398249660856528,0.11515609464869231,0.09972160069576211,0.21146085857048735
cell_73,0.13878782881449395,0.10753183226768663,0.12525417269113143,0.06864268386743154,0.0483602559957785,0.015868665427413085,0.016252962808980226,0.21542020693940442
cell_74,0.2861880774667922,0.28526853388207973,0.35037198451240165,0.1737918193350143,0.1946253176812713,0.14377082356421056,0.15676163985383712,0.32564093797792687
cell_75,0.1133857197335727,0.1125846209990408,0.1437873654236898,0.20501230363502596,0.15820261404847763,0.17534781757117993,0.13263917806676154,0.1332981504776886
cell_76,0.06830498286789063,0.06823233622509296,0.11015845722095466,0.23661835179737425,0.22597772295078875,0.19922206575694382,0.20387054255907147,0.1469697739434842
cell_77,0.06188809808925712,0.04442177112402317,0.1386487759766322,0.09941038299167756,0.17446978177245484,0.09988030856372061,0.08538508222196169,0.06273254329498182
cell_78,0.2422706738107556,0.18058075826670625,0.224700825577603,0.19814225193929375,0.18312444284290105,0.18176848236249732,0.14766972296610512,0.28337429665995784
cell_79,0.057518817998541964,0.027717459524167733,0.08192993790187186,0.0602862541039985,0.19106767281512924,0.19309164563027448,0.21128496346718953,0.0386376812401202
cell_80,0.17200281311628018,0.28505444784402845,0.2326224419243973,0.24757605121425127,0.20637279525381688,0.24655241831419494,0.17662000250585635,0.2806591980280241
cell_81,0.20057143351708573,0.17763906083646636,0.1656142582382325,0.14475147962375348,0.13728310375213093,0.14871574186521164,0.07839620080325319,0.20442274844149025
cell_82,,,,,,,,
